,HS578T_BREAST,HCC1937_BREAST,DU4475_BREAST,BT549_BREAST,HCC1143_BREAST,MDAMB436_BREAST,MDAMB157_BREAST,HCC1806_BREAST,HCC1395_BREAST,HMC18_BREAST,MDAMB231_BREAST,MDAMB468_BREAST,CAL51_BREAST,MDAMB453_BREAST
ABCG4_64137.,0.004304926,0.040361554,-0.152419762,-0.012055828,-0.174755639,-0.00935089,0.005862474,0.012498049,-0.067401988,0.001195914,-0.062282763,-0.098066911,0.040786424,-0.089308307
ABCG5_64240.,0.136501661,0.03583468,0.006687696,-0.07262966,0.05028239,-0.017936217,-0.033169002,-0.061727345,-0.043786558,-0.054122744,0.00593509,0.036394175,-0.001692055,0.015655432
ABCG8_64241.,-0.014175033,0.077669936,-0.102119696,-0.057559236,0.09684098,-0.05324836,0.025679792,-0.012137063,-0.107846422,0.079485602,-0.064981057,-0.01724388,0.149102671,0.086485407
ABHD1_84696.,0.109416942,-0.015259853,-0.141364436,-0.019310086,0.058695136,0.008505979,0.010266741,-0.110536603,-0.010819023,0.034858416,0.019228698,0.092687065,-0.073040814,0.016768221
ABHD10_55347.,0.084880728,0.023319037,0.036367809,0.056917759,0.168360921,0.0494342,0.058745578,-0.026116959,-0.07531228,0.120949961,-0.005431511,-0.03946778,0.057086611,0.147222747
ABHD11_83451.,-0.563124929,-0.367516302,-0.709722795,-0.332340603,-0.473463462,-0.40745663,-0.349717582,-0.469948785,-0.779961302,-0.28260909,-0.442525488,-0.262987266,-0.805127607,-0.609318686
ABHD12_26090.,-0.005214097,0.159885209,-0.152316121,-0.002999144,-0.10518917,-0.119810098,-0.009054022,0.072612418,-0.075072976,-0.032293084,-0.111296893,-0.12758409,0.059362407,-0.064140346
ABHD12B_145447.,-0.245865898,0.022686973,0.028647225,-0.184752188,-0.007789017,-0.194697151,-0.0734001,-0.019193288,-0.165250163,-0.097912782,-0.152616542,-0.064598146,-0.165270145,-0.021223626
ABHD13_84945.,-0.213024023,-0.197318729,-0.289553791,-0.203956945,-0.152321853,-0.150372615,-0.030380708,-0.165875175,-0.125195014,-0.12608598,-0.096818571,-0.223419531,-0.290761931,-0.27006272
ABHD14A_25864.,0.00871082,0.051454978,0.052892198,-0.076620636,-0.061156924,-0.060564724,-0.029677003,-0.039477139,-0.111818458,-0.121387885,-0.057184404,-0.014378358,0.034436211,-0.111671599
ABHD14B_84836.,0.029412363,-0.01089175,0.014269109,-0.101390717,-0.16288703,0.101918266,-0.050569562,-0.004869098,-0.144334069,-0.077557459,-0.086700441,0.108902994,0.08447975,-0.117328003
ABHD15_116236.,-0.164824365,-0.135795177,-0.195586908,-0.206078412,-0.074503258,-0.274665304,-0.020354497,-0.141780657,-0.009087262,-0.088975714,-0.047322649,-0.177623274,-0.070462069,-0.039804423
ABHD16A_7920.,-0.058790324,-0.23684406,-0.156270309,-0.145225664,-0.411952067,-0.005066281,-0.139434861,-0.225714634,-0.062845253,-0.132508832,-0.124923603,0.019765688,-0.270233951,-0.054777158
ABHD16B_140701.,-0.010094058,0.054355583,-0.045748212,-0.00254687,0.001083997,-0.00577924,-0.057325769,0.099655159,-0.127225169,0.019451001,-0.059826235,-0.083307527,-0.051432525,-0.072951958
ABHD17A_81926.,-0.247448366,-0.311086443,-0.337877504,-0.113653847,-0.193652692,-0.20405025,-0.088011813,-0.19265978,-0.109236732,-0.184315369,-0.305348935,-0.141428982,-0.552037429,-0.231408075
ABHD17B_51104.,0.1084817,0.14877487,0.132169207,0.058722847,0.107872826,0.113674823,0.018785945,0.072860294,0.09232217,0.040176175,0.137317103,0.172540405,0.094714134,0.112990854
ABHD17C_58489.,0.150818974,0.137393237,0.093234074,0.069766978,0.207822864,-0.001799401,0.102959565,0.021173125,0.108059636,0.037497751,0.212729153,0.132317297,-0.038539391,0.129050307
ABHD2_11057.,-0.043343783,-0.137166356,-0.178315538,-0.068104007,0.033284931,-0.151032461,-0.044518663,-0.050155661,-0.189253838,-0.062584737,-0.043762055,-0.028033387,-0.092337189,-0.167164884
ABHD3_171586.,-0.041421201,-0.094654002,-0.078199403,0.015995828,0.125139309,-0.009880323,-0.040518307,-0.113137959,-0.208156616,0.097067483,0.128255559,-0.032507852,-0.132510276,0.050903347
ABHD4_63874.,0.015974134,0.195300892,0.110331138,-0.072601819,0.095980811,-0.003901912,0.062960878,-0.00292834,0.094995008,-0.138930049,0.158759043,0.006533887,0.071905685,0.173715154
ABHD5_51099.,0.024743399,-0.071248393,-0.247280024,0.03782887,0.095173998,0.096179385,0.081983161,0.03510003,-0.059871269,-0.01243848,0.093854573,0.060615249,-0.111768416,0.127360402
ABHD6_57406.,0.110453667,0.085226703,-0.028553159,0.037628578,0.019849609,-0.014311462,-0.030563446,0.018985903,-0.080826718,-0.007363011,-0.039367496,-0.036982786,-0.046072096,-0.011209987
ABHD8_79575.,-0.051413814,0.029465905,-0.024485459,0.048318961,-0.177588793,-0.02686163,0.004935923,-0.034949911,-0.080116379,-0.071388957,-0.162150029,-0.125002033,-0.166489405,-0.024495053
